,accession,species
31,NR_116198.1,Achromobacter marplatensis
32,NR_117614.1,Achromobacter marplatensis
33,NR_118400.1,Achromobacter marplatensis
92,NR_026209.1,Acinetobacter lwoffii
91,NR_113346.1,Acinetobacter lwoffii
99,NR_114074.1,Acinetobacter radioresistens
100,NR_026210.1,Acinetobacter radioresistens
4,NR_115988.1,Acinetobacter rudis
81,NR_074872.1,Advenella kashmirensis
82,NR_042360.1,Advenella kashmirensis
72,NR_025357.1,Alcaligenes faecalis
69,NR_113606.1,Alcaligenes faecalis
71,NR_042830.1,Alcaligenes faecalis
70,NR_043445.1,Alcaligenes faecalis
14,NR_042338.1,Bacillus aerius
15,NR_118439.1,Bacillus aerius
21,NR_115953.1,Bacillus aryabhattai
20,NR_118442.1,Bacillus aryabhattai
28,NR_074540.1,Bacillus cereus
23,NR_115714.1,Bacillus cereus
24,NR_115526.1,Bacillus cereus
25,NR_113266.1,Bacillus cereus
26,NR_112630.1,Bacillus cereus
27,NR_114582.1,Bacillus cereus
1,NR_157609.1,Bacillus haynesii
22,NR_117050.1,Bacillus kochii
52,NR_118996.1,Bacillus licheniformis
53,NR_116023.1,Bacillus licheniformis
51,NR_118959.1,Bacillus licheniformis
54,NR_113588.1,Bacillus licheniformis
50,NR_074923.1,Bacillus licheniformis
29,NR_114422.1,Bacillus pseudomycoides
30,NR_113991.1,Bacillus pseudomycoides
16,NR_113945.1,Bacillus safensis
17,NR_041794.1,Bacillus safensis
64,NR_027552.1,Bacillus subtilis
63,NR_112629.1,Bacillus subtilis
62,NR_113265.1,Bacillus subtilis
61,NR_112116.2,Bacillus subtilis
60,NR_118383.1,Bacillus subtilis
59,NR_118972.1,Bacillus subtilis
58,NR_116017.1,Bacillus subtilis
57,NR_116183.1,Bacillus subtilis
56,NR_116192.1,Bacillus subtilis
13,NR_116240.1,Bacillus velezensis
12,NR_075005.2,Bacillus velezensis
49,NR_152692.1,Bacillus wiedmannii
11,NR_113767.1,Brevibacillus agri
10,NR_040983.1,Brevibacillus agri
9,NR_115587.1,Brevibacillus agri
40,NR_040805.1,Brevundimonas diminuta
36,NR_114708.1,Brevundimonas diminuta
37,NR_113602.1,Brevundimonas diminuta
38,NR_113238.1,Brevundimonas diminuta
39,NR_117188.1,Brevundimonas diminuta
90,NR_116722.1,Brevundimonas naejangsanensis
3,NR_104839.1,Curtobacterium oceanosedimentum
2,NR_116064.1,Curtobacterium oceanosedimentum
41,NR_109413.1,Exiguobacterium aquaticum
18,NR_025805.1,Janibacter melonis
75,NR_042072.1,Lysinibacillus fusiformis
73,NR_112628.1,Lysinibacillus fusiformis
74,NR_112569.1,Lysinibacillus fusiformis
78,NR_074243.1,Ochrobactrum anthropi
77,NR_113811.1,Ochrobactrum anthropi
76,NR_114979.1,Ochrobactrum anthropi
42,NR_042589.1,Ochrobactrum pseudogrignonense
6,NR_115599.1,Paenibacillus lautus
5,NR_117185.1,Paenibacillus lautus
7,NR_112724.1,Paenibacillus lautus
8,NR_040882.1,Paenibacillus lautus
65,NR_044428.1,Paenibacillus taichungensis
19,NR_144714.1,Planococcus massiliensis
95,NR_113856.1,Pseudomonas parafulva
94,NR_040859.1,Pseudomonas parafulva
93,NR_104278.1,Pseudomonas parafulva
46,NR_043424.1,Pseudomonas putida
45,NR_113651.1,Pseudomonas putida
44,NR_114479.1,Pseudomonas putida
43,NR_114794.1,Pseudomonas putida
0,NR_025227.1,Pseudomonas umsongensis
48,NR_043535.1,Rhodococcus qingshengii
47,NR_115708.1,Rhodococcus qingshengii
34,NR_114043.1,Serratia marcescens
35,NR_036886.1,Serratia marcescens
68,NR_029233.1,Sporosarcina globispora
67,NR_113837.1,Sporosarcina globispora
66,NR_118912.1,Sporosarcina globispora
55,NR_043526.1,Sporosarcina koreensis
96,NR_118965.1,Sporosarcina psychrophila
97,NR_113752.1,Sporosarcina psychrophila
98,NR_036942.1,Sporosarcina psychrophila
87,NR_040804.1,Stenotrophomonas maltophilia
84,NR_113648.1,Stenotrophomonas maltophilia
83,NR_119220.1,Stenotrophomonas maltophilia
85,NR_112030.1,Stenotrophomonas maltophilia
86,NR_041577.1,Stenotrophomonas maltophilia
80,NR_118008.1,Stenotrophomonas pavanii
79,NR_116793.1,Stenotrophomonas pavanii
88,NR_028930.1,Stenotrophomonas rhizophilia
89,NR_121739.1,Stenotrophomonas rhizophilia
,,
,,
