accession,species
NR_116198.1,Achromobacter marplatensis
NR_117614.1,Achromobacter marplatensis
NR_118400.1,Achromobacter marplatensis
NR_026209.1,Acinetobacter lwoffii
NR_113346.1,Acinetobacter lwoffii
NR_114074.1,Acinetobacter radioresistens
NR_026210.1,Acinetobacter radioresistens
NR_115988.1,Acinetobacter rudis
NR_074872.1,Advenella kashmirensis
NR_042360.1,Advenella kashmirensis
NR_025357.1,Alcaligenes faecalis
NR_113606.1,Alcaligenes faecalis
NR_042830.1,Alcaligenes faecalis
NR_043445.1,Alcaligenes faecalis
NR_042338.1,Bacillus aerius
NR_118439.1,Bacillus aerius
NR_115953.1,Bacillus aryabhattai
NR_118442.1,Bacillus aryabhattai
NR_074540.1,Bacillus cereus
NR_115714.1,Bacillus cereus
NR_115526.1,Bacillus cereus
NR_113266.1,Bacillus cereus
NR_112630.1,Bacillus cereus
NR_114582.1,Bacillus cereus
NR_157609.1,Bacillus haynesii
NR_117050.1,Bacillus kochii
NR_118996.1,Bacillus licheniformis
NR_116023.1,Bacillus licheniformis
NR_118959.1,Bacillus licheniformis
NR_113588.1,Bacillus licheniformis
NR_074923.1,Bacillus licheniformis
NR_114422.1,Bacillus pseudomycoides
NR_113991.1,Bacillus pseudomycoides
NR_113945.1,Bacillus safensis
NR_041794.1,Bacillus safensis
NR_027552.1,Bacillus subtilis
NR_112629.1,Bacillus subtilis
NR_113265.1,Bacillus subtilis
NR_112116.2,Bacillus subtilis
NR_118383.1,Bacillus subtilis
NR_118972.1,Bacillus subtilis
NR_116017.1,Bacillus subtilis
NR_116183.1,Bacillus subtilis
NR_116192.1,Bacillus subtilis
NR_116240.1,Bacillus velezensis
NR_075005.2,Bacillus velezensis
NR_152692.1,Bacillus wiedmannii
NR_113767.1,Brevibacillus agri
NR_040983.1,Brevibacillus agri
NR_115587.1,Brevibacillus agri
NR_040805.1,Brevundimonas diminuta
NR_114708.1,Brevundimonas diminuta
NR_113602.1,Brevundimonas diminuta
NR_113238.1,Brevundimonas diminuta
NR_117188.1,Brevundimonas diminuta
NR_116722.1,Brevundimonas naejangsanensis
NR_104839.1,Curtobacterium oceanosedimentum
NR_116064.1,Curtobacterium oceanosedimentum
NR_109413.1,Exiguobacterium aquaticum
NR_025805.1,Janibacter melonis
NR_042072.1,Lysinibacillus fusiformis
NR_112628.1,Lysinibacillus fusiformis
NR_112569.1,Lysinibacillus fusiformis
NR_074243.1,Ochrobactrum anthropi
NR_113811.1,Ochrobactrum anthropi
NR_114979.1,Ochrobactrum anthropi
NR_042589.1,Ochrobactrum pseudogrignonense
NR_115599.1,Paenibacillus lautus
NR_117185.1,Paenibacillus lautus
NR_112724.1,Paenibacillus lautus
NR_040882.1,Paenibacillus lautus
NR_044428.1,Paenibacillus taichungensis
NR_144714.1,Planococcus massiliensis
NR_113856.1,Pseudomonas parafulva
NR_040859.1,Pseudomonas parafulva
NR_104278.1,Pseudomonas parafulva
NR_043424.1,Pseudomonas putida
NR_113651.1,Pseudomonas putida
NR_114479.1,Pseudomonas putida
NR_114794.1,Pseudomonas putida
NR_025227.1,Pseudomonas umsongensis
NR_043535.1,Rhodococcus qingshengii
NR_115708.1,Rhodococcus qingshengii
NR_114043.1,Serratia marcescens
NR_036886.1,Serratia marcescens
NR_029233.1,Sporosarcina globispora
NR_113837.1,Sporosarcina globispora
NR_118912.1,Sporosarcina globispora
NR_043526.1,Sporosarcina koreensis
NR_118965.1,Sporosarcina psychrophila
NR_113752.1,Sporosarcina psychrophila
NR_036942.1,Sporosarcina psychrophila
NR_040804.1,Stenotrophomonas maltophilia
NR_113648.1,Stenotrophomonas maltophilia
NR_119220.1,Stenotrophomonas maltophilia
NR_112030.1,Stenotrophomonas maltophilia
NR_041577.1,Stenotrophomonas maltophilia
NR_118008.1,Stenotrophomonas pavanii
NR_116793.1,Stenotrophomonas pavanii
NR_028930.1,Stenotrophomonas rhizophilia
NR_121739.1,Stenotrophomonas rhizophilia
