isolate,accession,species
K2,MN493874.1,Stenotrophomonas sp.
K4,MN493875.1,Brevundimonas sp.
K7,MN493876.1,Stenotrophomonas sp.
K9,MN493877.1,Ochrobactrum sp.
K10,MN493878.1,Ochrobactrum sp.
K11,MN493879.1,Lysinibacillus sp.
K12,MN493880.1,Stenotrophomonas sp.
K13,MN493881.1,Alcaligenes sp.
K14,MN493882.1,Alcaligenes sp.
K15,MN493883.1,Sporosarcina sp.
K16,MN493884.1,Paenibacillus sp.
K18,MN493885.1,Bacillus sp.
K19,MN493886.1,Alcaligenes sp.
K20,MN493887.1,Alcaligenes sp.
K21,MN493888.1,Sporosarcina sp.
K22,MN493889.1,Sporosarcina sp.
K25,MN493890.1,Bacillus sp.
K26,MN577364.1,Bacillus sp.
K27,MN493891.1,Rhodococcus sp.
K31,MN493892.1,Bacillus sp.
K36,MN493895.1,Pseudomonas sp.
K37,MN493896.1,Pseudomonas sp.
K38,MN493897.1,Pseudomonas sp.
K39,MN493898.1,Ochrobactrum sp.
K41,MN493899.1,Pseudomonas sp.
K42,MN493900.1,Bacillus sp.
K44,MN493901.1,Alcaligenes sp.
K45,MN493902.1,Alcaligenes sp
K46,MN493903.1,Alcaligenes sp.
K49,MN493904.1,Exiguobacterium sp.
K50,MN493905.1,Bacillus sp.
K51,MN493906.1,Stenotrophomonas sp.
K53,MN493907.1,Stenotrophomonas sp.
K54,MN493908.1,Brevundimonas sp.
K56,MN493909.1,Stenotrophomonas sp.
K57,MN493910.1,Bacillus sp.
K58,MN493911.1,Brevundimonas sp.
K59,MN493912.1,Brevundimonas sp.
K61,MN493913.1,Serratia sp.
K63,MN493914.1,Bacillus sp.
K64,MN493915.1,Bacillus sp.
K66,MN493916.1,Sporosarcina sp.
K67,MN493917.1,Achromobacter sp.
K68,MN493918.1,Achromobacter sp.
K69,MN493919.1,Alcaligenes sp.
K70,MN493920.1,Alcaligenes sp.
K71,MN493921.1,Paenibacillus sp.
K72,MN577365.1,Bacillus sp.
K73,MN493922.1,Bacillus sp.
K74,MN493923.1,Bacillus sp.
K75,MN493924.1,Bacillus sp.
K76,MN493925.1,Alcaligenes sp.
K81,MN577367.1,Bacillus sp.
K82,MN577368.1,Bacillus sp.
K84,MN577369.1,Bacillus sp.
K85,MN577370.1,Planococcus sp.
K86,MN577371.1,Janibacter sp.
K87,MN577372.1,Bacillus sp.
K97,MN577375.1,Stenotrophomonas sp.
K98,MN577376.1,Bacillus sp.
K101,MN577377.1,Bacillus sp
M3,MN577378.1,Bacillus sp
M10,MN577379.1,Bacillus sp
M11,MN577380.1,Brevibacillus sp.
M13,MN577381.1,Paenibacillus sp.
M17,MN577382.1,Acinetobacter sp.
M18,MN577383.1,Curtobacterium sp.
M22,MN577384.1,Bacillus sp
M25,MN577385.1,Stenotrophomonas sp.
M35,MN577386.1,Advenella sp.
M43,MN577388.1,Pseudomonas sp.
M44,MN577389.1,Bacillus sp.
