,species,haplotypes,haplotype_sizes
0,Achromobacter marplatensis,"['209_1', '328_1', '79_1']","['209', '328', '79']"
1,Acinetobacter rudis,"['164_1', '207_1', '244_1', '371_1']","['164', '207', '244', '371']"
2,Advenella kashmirensis,"['166_1', '206_1', '209_1', '540_1']","['166', '206', '209', '540']"
3,Alcaligenes faecalis,"['165_1', '361_1']","['165', '361']"
4,Bacillus aerius,['265_1'],['265']
5,Bacillus aryabhattai,"['209_1', '265_1', '615_1', '88_1']","['209', '265', '615', '88']"
6,Bacillus cereus,"['174_1', '186_1', '224_1', '58_1', '599_1']","['174', '186', '224', '58', '599']"
7,Bacillus haynesii,"['141_1', '265_1', '823_1']","['141', '265', '823']"
8,Bacillus kochii,"['172_1', '824_1']","['172', '824']"
9,Bacillus licheniformis,"['141_1', '265_1']","['141', '265']"
10,Bacillus pseudomycoides,"['174_1', '186_1', '58_1', '599_1']","['174', '186', '58', '599']"
11,Bacillus safensis,"['186_1', '207_1', '265_1', '429_1', '85_1', '88_1']","['186', '207', '265', '429', '85', '88']"
12,Bacillus subtilis,['186_1'],['186']
13,Bacillus velezensis,"['173_1', '207_1', '265_1', '431_1']","['173', '207', '265', '431']"
14,Bacillus weidmannii,"['145_1', '174_1', '186_1', '224_1', '58_1', '599_1']","['145', '174', '186', '224', '58', '599']"
15,Brevibacillus agrii,"['161_1', '196_1', '212_1', '403_1', '410_1']","['161', '196', '212', '403', '410']"
16,Brevundimonas diminuta,[],[]
17,Brevundimonas naejangsanensis,['546_1'],['546']
18,Curtobacterium oceanosedimentum,"['165_1', '205_1', '286_1', '310_1']","['165', '205', '286', '310']"
19,Exiguobacterium aquaticum,"['209_1', '615_1']","['209', '615']"
20,Janibacter melonis,"['204_1', '286_1', '310_1']","['204', '286', '310']"
21,Lysinibacillus fusiformis,"['174_1', '209_1', '615_1']","['174', '209', '615']"
22,Ochrobactrum anthropi,"['144_1', '209_1', '402_1']","['144', '209', '402']"
23,Ochrobactrum pseudogrignonense  ,"['102_1', '105_1', '144_1', '159_1', '172_1', '197_1', '209_1', '243_1']","['102', '105', '144', '159', '172', '197', '209', '243']"
24,Paenibacillus lautus,"['186_1', '88_1']","['186', '88']"
25,Paenibacillus taichungensis,"['186_1', '635_1', '88_1']","['186', '635', '88']"
26,Planococcus massiliensis,"['175_1', '209_1', '614_1']","['175', '209', '614']"
27,Pseudomonas putida,"['162_1', '207_1', '211_1', '403_1']","['162', '207', '211', '403']"
28,Pseudomonas umsongensis,"['162_1', '162_2', '209_1', '403_1']","['162', '162', '209', '403']"
29,Rhodococcus qingshengii,"['147_1', '223_1', '245_1', '350_1', '58_1']","['147', '223', '245', '350', '58']"
30,Serratia marcescens,"['207_1', '211_1', '374_1', '79_1', '86_1']","['207', '211', '374', '79', '86']"
31,Sporosarcina globispora,['186_1'],['186']
32,Sporosarcina koreensis,"['173_1', '186_1', '209_1', '429_1']","['173', '186', '209', '429']"
33,Sporosarcina koreensis ,"['173_1', '186_1', '209_1', '412_1', '429_1']","['173', '186', '209', '412', '429']"
34,Stenotrophomonas maltophilia,['376_1'],['376']
35,Stenotrophomonas pavanii,"['128_1', '169_1', '207_1', '276_1', '376_1']","['128', '169', '207', '276', '376']"
36,Stenotrophomonas rhizophilia,"['168_1', '377_1', '445_1']","['168', '377', '445']"
