,hap_id,hap,sample,accession
0,1,AL1,S_MN493917.1,MN493917.1
1,1,AL1,S_MN493918.1,MN493918.1
2,2,AL2,S_MN577382.1,MN577382.1
3,3,AL3,S_MN577386.1,MN577386.1
4,4,AL4,S_MN493881.1,MN493881.1
5,4,AL4,S_MN493882.1,MN493882.1
6,4,AL4,S_MN493886.1,MN493886.1
7,4,AL4,S_MN493887.1,MN493887.1
8,4,AL4,S_MN493902.1,MN493902.1
9,4,AL4,S_MN493919.1,MN493919.1
10,4,AL4,S_MN493920.1,MN493920.1
11,4,AL4,S_MN493925.1,MN493925.1
12,6,AL6,S_MN577369.1,MN577369.1
13,7,AL7,S_MN493910.1,MN493910.1
14,7,AL7,S_MN493922.1,MN493922.1
15,7,AL7,S_MN493924.1,MN493924.1
16,7,AL7,S_MN577364.1,MN577364.1
17,8,AL8,S_MN493890.1,MN493890.1
18,8,AL8,S_MN577372.1,MN577372.1
19,8,AL8,S_MN577384.1,MN577384.1
20,9,AL9,S_MN577367.1,MN577367.1
21,10,AL10,S_MN493890.1,MN493890.1
22,10,AL10,S_MN577372.1,MN577372.1
23,10,AL10,S_MN577384.1,MN577384.1
24,11,AL11,S_MN493910.1,MN493910.1
25,11,AL11,S_MN493922.1,MN493922.1
26,11,AL11,S_MN493923.1,MN493923.1
27,11,AL11,S_MN493924.1,MN493924.1
28,11,AL11,S_MN577364.1,MN577364.1
29,11,AL11,S_MN577365.1,MN577365.1
30,12,AL12,S_MN577376.1,MN577376.1
31,12,AL12,S_MN577377.1,MN577377.1
32,15,AL15,S_MN493910.1,MN493910.1
33,16,AL16,S_MN577380.1,MN577380.1
34,19,AL19,S_MN577383.1,MN577383.1
35,20,AL20,S_MN493879.1,MN493879.1
36,20,AL20,S_MN493904.1,MN493904.1
37,20,AL20,S_MN577369.1,MN577369.1
38,21,AL21,S_MN577371.1,MN577371.1
39,22,AL22,S_MN493879.1,MN493879.1
40,23,AL23,S_MN493877.1,MN493877.1
41,23,AL23,S_MN493878.1,MN493878.1
42,24,AL24,S_MN493898.1,MN493898.1
43,25,AL25,S_MN493884.1,MN493884.1
44,25,AL25,S_MN493921.1,MN493921.1
45,25,AL25,S_MN577376.1,MN577376.1
46,25,AL25,S_MN577377.1,MN577377.1
47,25,AL25,S_MN577381.1,MN577381.1
48,26,AL26,S_MN493884.1,MN493884.1
49,26,AL26,S_MN493921.1,MN493921.1
50,26,AL26,S_MN577381.1,MN577381.1
51,28,AL28,S_MN493895.1,MN493895.1
52,28,AL28,S_MN493896.1,MN493896.1
53,28,AL28,S_MN493899.1,MN493899.1
54,28,AL28,S_MN577388.1,MN577388.1
55,29,AL29,S_MN493896.1,MN493896.1
56,29,AL29,S_MN493899.1,MN493899.1
57,29,AL29,S_MN577388.1,MN577388.1
58,30,AL30,S_MN493891.1,MN493891.1
59,31,AL31,S_MN493913.1,MN493913.1
60,33,AL33,S_MN493888.1,MN493888.1
61,33,AL33,S_MN493889.1,MN493889.1
62,34,AL34,S_MN493888.1,MN493888.1
63,36,AL36,S_MN493874.1,MN493874.1
64,36,AL36,S_MN493876.1,MN493876.1
65,36,AL36,S_MN493907.1,MN493907.1
66,36,AL36,S_MN493909.1,MN493909.1
67,36,AL36,S_MN577375.1,MN577375.1
