,species,haplotypes,haplotype_sizes,uid,fragment_count,all_identifiers,sample_identifiers
0,Achromobacter marplatensis,"['209_1', '328_1', '79_1']","['209', '328', '79']",209_1-328_1-79_1,3,"['R_MT078618.1', 'R_NR_116198.1', 'R_NR_117614.1', 'R_NR_118400.1', 'S_MN493917.1', 'S_MN493918.1']","['S_MN493917.1', 'S_MN493918.1']"
1,Acinetobacter rudis,"['164_1', '207_1', '244_1', '371_1']","['164', '207', '244', '371']",164_1-207_1-244_1-371_1,4,"['R_AB859737.1', 'R_FN298236.1', 'R_KF475856.1', 'R_MT478049.1', 'R_NR_115988.1', 'S_MN577382.1']",['S_MN577382.1']
2,Advenella kashmirensis,"['166_1', '206_1', '209_1', '540_1']","['166', '206', '209', '540']",166_1-206_1-209_1-540_1,4,"['R_KF956701.1', 'R_LN870300.1', 'R_MH379789.1', 'R_MT138841.1', 'R_NR_042360.1', 'S_MN577386.1']",['S_MN577386.1']
3,Alcaligenes faecalis,"['165_1', '361_1']","['165', '361']",165_1-361_1,2,"['R_NR_113606.1', 'S_MN493881.1', 'S_MN493882.1', 'S_MN493886.1', 'S_MN493887.1', 'S_MN493902.1', 'S_MN493919.1', 'S_MN493920.1', 'S_MN493925.1']","['S_MN493881.1', 'S_MN493882.1', 'S_MN493886.1', 'S_MN493887.1', 'S_MN493902.1', 'S_MN493919.1', 'S_MN493920.1', 'S_MN493925.1']"
4,Bacillus aerius,['265_1'],['265'],265_1,1,"['R_HQ242770.1', 'R_KT441039.1', 'R_KU358906.1', 'R_MG489823.1', 'R_MK648261.1', 'R_MK855401.1', 'R_MN004848.1', 'R_MN880426.1', 'R_MN882711.1', 'R_MT012197.1', 'R_MT111081.1', 'R_MT133336.1', 'R_MT133347.1', 'R_MT491101.1', 'R_MT538258.1', 'R_MW092883.1', 'R_NR_027552.1', 'R_NR_041794.1', 'R_NR_042338.1', 'R_NR_074243.1', 'R_NR_074923.1', 'R_NR_075005.2', 'R_NR_112116.2', 'R_NR_112629.1', 'R_NR_113265.1', 'R_NR_113588.1', 'R_NR_113945.1', 'R_NR_115953.1', 'R_NR_116017.1', 'R_NR_116023.1', 'R_NR_116240.1', 'R_NR_118383.1', 'R_NR_118439.1', 'R_NR_118442.1', 'R_NR_118959.1', 'R_NR_118972.1', 'R_NR_118996.1', 'R_NR_157609.1', 'S_MN493885.1', 'S_MN493890.1', 'S_MN493892.1', 'S_MN493900.1', 'S_MN493905.1', 'S_MN493914.1', 'S_MN493915.1', 'S_MN577368.1', 'S_MN577369.1', 'S_MN577372.1', 'S_MN577376.1', 'S_MN577377.1', 'S_MN577379.1', 'S_MN577384.1', 'S_MN577389.1']","['S_MN493885.1', 'S_MN493890.1', 'S_MN493892.1', 'S_MN493900.1', 'S_MN493905.1', 'S_MN493914.1', 'S_MN493915.1', 'S_MN577368.1', 'S_MN577369.1', 'S_MN577372.1', 'S_MN577376.1', 'S_MN577377.1', 'S_MN577379.1', 'S_MN577384.1', 'S_MN577389.1']"
5,Bacillus aryabhattai,"['209_1', '265_1', '615_1', '88_1']","['209', '265', '615', '88']",209_1-265_1-615_1-88_1,4,"['R_HQ242770.1', 'R_MG489823.1', 'R_MN004848.1', 'R_MT538258.1', 'R_MW092883.1', 'R_NR_115953.1', 'R_NR_118442.1', 'S_MN577369.1']",['S_MN577369.1']
6,Bacillus cereus,"['174_1', '186_1', '224_1', '58_1', '599_1']","['174', '186', '224', '58', '599']",174_1-186_1-224_1-58_1-599_1,5,"['R_KF730754.1', 'R_MK855405.1', 'R_MN726923.1', 'R_MN960268.1', 'R_MN960276.1', 'R_MT052656.1', 'R_MT052668.1', 'R_NR_074540.1', 'R_NR_112630.1', 'R_NR_113266.1', 'R_NR_113991.1', 'R_NR_114422.1', 'R_NR_114582.1', 'R_NR_115526.1', 'R_NR_115714.1', 'R_NR_152692.1', 'S_MN493910.1', 'S_MN493922.1', 'S_MN493924.1', 'S_MN577364.1']","['S_MN493910.1', 'S_MN493922.1', 'S_MN493924.1', 'S_MN577364.1']"
7,Bacillus haynesii,"['141_1', '265_1', '823_1']","['141', '265', '823']",141_1-265_1-823_1,3,"['R_MK648261.1', 'R_MK855401.1', 'R_NR_074923.1', 'R_NR_113588.1', 'R_NR_116023.1', 'R_NR_118996.1', 'R_NR_157609.1', 'S_MN493890.1', 'S_MN577372.1', 'S_MN577384.1']","['S_MN493890.1', 'S_MN577372.1', 'S_MN577384.1']"
8,Bacillus kochii,"['172_1', '824_1']","['172', '824']",172_1-824_1,2,"['R_FR845720.1', 'R_MG705671.1', 'R_MN075515.1', 'R_NR_117050.1', 'S_MN577367.1']",['S_MN577367.1']
9,Bacillus licheniformis,"['141_1', '265_1']","['141', '265']",141_1-265_1,2,"['R_KT441039.1', 'R_KU358906.1', 'R_MK648261.1', 'R_MK855401.1', 'R_NR_042338.1', 'R_NR_074923.1', 'R_NR_113588.1', 'R_NR_116023.1', 'R_NR_118959.1', 'R_NR_118996.1', 'R_NR_157609.1', 'S_MN493890.1', 'S_MN577372.1', 'S_MN577384.1']","['S_MN493890.1', 'S_MN577372.1', 'S_MN577384.1']"
10,Bacillus pseudomycoides,"['174_1', '186_1', '58_1', '599_1']","['174', '186', '58', '599']",174_1-186_1-58_1-599_1,4,"['R_KF730754.1', 'R_MK855405.1', 'R_MN726923.1', 'R_MN960268.1', 'R_MN960276.1', 'R_MT052656.1', 'R_MT052668.1', 'R_NR_074540.1', 'R_NR_112630.1', 'R_NR_113266.1', 'R_NR_113991.1', 'R_NR_114422.1', 'R_NR_114582.1', 'R_NR_115526.1', 'R_NR_115714.1', 'R_NR_152692.1', 'S_MN493910.1', 'S_MN493922.1', 'S_MN493923.1', 'S_MN493924.1', 'S_MN577364.1', 'S_MN577365.1']","['S_MN493910.1', 'S_MN493922.1', 'S_MN493923.1', 'S_MN493924.1', 'S_MN577364.1', 'S_MN577365.1']"
11,Bacillus safensis,"['186_1', '207_1', '265_1', '429_1', '85_1', '88_1']","['186', '207', '265', '429', '85', '88']",186_1-207_1-265_1-429_1-85_1-88_1,6,"['R_MN880426.1', 'R_MN882711.1', 'R_MT133336.1', 'R_MT133347.1', 'R_NR_041794.1', 'R_NR_113945.1', 'R_NR_118439.1', 'S_MN577376.1', 'S_MN577377.1']","['S_MN577376.1', 'S_MN577377.1']"
13,Bacillus velezensis,"['173_1', '207_1', '265_1', '431_1']","['173', '207', '265', '431']",173_1-207_1-265_1-431_1,4,"['R_MT012197.1', 'R_NR_116240.1']",[]
