,accession,phylotype
0,MN493874.1,AL36-HP35-MS35-RS37
1,MN493874.1,AL36-HP35-MS36-RS37
2,MN493874.1,AL36-HP36-MS35-RS37
3,MN493874.1,AL36-HP36-MS36-RS37
4,MN493876.1,AL36-HP35-MS35-RS37
5,MN493876.1,AL36-HP35-MS36-RS37
6,MN493876.1,AL36-HP36-MS35-RS37
7,MN493876.1,AL36-HP36-MS36-RS37
8,MN493878.1,AL23-HP23-MS23-RS23
9,MN493879.1,AL20-HP22-MS22-RS22
10,MN493879.1,AL22-HP22-MS22-RS22
11,MN493884.1,AL25-HP26-MS26-RS26
12,MN493884.1,AL26-HP26-MS26-RS26
13,MN493888.1,AL33-HP32-MS32-RS29
14,MN493888.1,AL33-HP32-MS33-RS29
15,MN493888.1,AL33-HP32-MS34-RS29
16,MN493888.1,AL33-HP33-MS32-RS29
17,MN493888.1,AL33-HP33-MS33-RS29
18,MN493888.1,AL33-HP33-MS34-RS29
19,MN493888.1,AL33-HP34-MS32-RS29
20,MN493888.1,AL33-HP34-MS33-RS29
21,MN493888.1,AL33-HP34-MS34-RS29
22,MN493888.1,AL33-HP32-MS32-RS33
23,MN493888.1,AL33-HP32-MS33-RS33
24,MN493888.1,AL33-HP32-MS34-RS33
25,MN493888.1,AL33-HP33-MS32-RS33
26,MN493888.1,AL33-HP33-MS33-RS33
27,MN493888.1,AL33-HP33-MS34-RS33
28,MN493888.1,AL33-HP34-MS32-RS33
29,MN493888.1,AL33-HP34-MS33-RS33
30,MN493888.1,AL33-HP34-MS34-RS33
31,MN493888.1,AL33-HP32-MS32-RS34
32,MN493888.1,AL33-HP32-MS33-RS34
33,MN493888.1,AL33-HP32-MS34-RS34
34,MN493888.1,AL33-HP33-MS32-RS34
35,MN493888.1,AL33-HP33-MS33-RS34
36,MN493888.1,AL33-HP33-MS34-RS34
37,MN493888.1,AL33-HP34-MS32-RS34
38,MN493888.1,AL33-HP34-MS33-RS34
39,MN493888.1,AL33-HP34-MS34-RS34
40,MN493888.1,AL34-HP32-MS32-RS29
41,MN493888.1,AL34-HP32-MS33-RS29
42,MN493888.1,AL34-HP32-MS34-RS29
43,MN493888.1,AL34-HP33-MS32-RS29
44,MN493888.1,AL34-HP33-MS33-RS29
45,MN493888.1,AL34-HP33-MS34-RS29
46,MN493888.1,AL34-HP34-MS32-RS29
47,MN493888.1,AL34-HP34-MS33-RS29
48,MN493888.1,AL34-HP34-MS34-RS29
49,MN493888.1,AL34-HP32-MS32-RS33
50,MN493888.1,AL34-HP32-MS33-RS33
51,MN493888.1,AL34-HP32-MS34-RS33
52,MN493888.1,AL34-HP33-MS32-RS33
53,MN493888.1,AL34-HP33-MS33-RS33
54,MN493888.1,AL34-HP33-MS34-RS33
55,MN493888.1,AL34-HP34-MS32-RS33
56,MN493888.1,AL34-HP34-MS33-RS33
57,MN493888.1,AL34-HP34-MS34-RS33
58,MN493888.1,AL34-HP32-MS32-RS34
59,MN493888.1,AL34-HP32-MS33-RS34
60,MN493888.1,AL34-HP32-MS34-RS34
61,MN493888.1,AL34-HP33-MS32-RS34
62,MN493888.1,AL34-HP33-MS33-RS34
63,MN493888.1,AL34-HP33-MS34-RS34
64,MN493888.1,AL34-HP34-MS32-RS34
65,MN493888.1,AL34-HP34-MS33-RS34
66,MN493888.1,AL34-HP34-MS34-RS34
67,MN493889.1,AL33-HP32-MS32-RS29
68,MN493889.1,AL33-HP32-MS33-RS29
69,MN493889.1,AL33-HP33-MS32-RS29
70,MN493889.1,AL33-HP33-MS33-RS29
71,MN493889.1,AL33-HP32-MS32-RS33
72,MN493889.1,AL33-HP32-MS33-RS33
73,MN493889.1,AL33-HP33-MS32-RS33
74,MN493889.1,AL33-HP33-MS33-RS33
75,MN493890.1,AL8-HP8-MS8-RS12
76,MN493890.1,AL8-HP8-MS10-RS12
77,MN493890.1,AL8-HP8-MS14-RS12
78,MN493890.1,AL8-HP10-MS8-RS12
79,MN493890.1,AL8-HP10-MS10-RS12
80,MN493890.1,AL8-HP10-MS14-RS12
81,MN493890.1,AL8-HP14-MS8-RS12
82,MN493890.1,AL8-HP14-MS10-RS12
83,MN493890.1,AL8-HP14-MS14-RS12
84,MN493890.1,AL10-HP8-MS8-RS12
85,MN493890.1,AL10-HP8-MS10-RS12
86,MN493890.1,AL10-HP8-MS14-RS12
87,MN493890.1,AL10-HP10-MS8-RS12
88,MN493890.1,AL10-HP10-MS10-RS12
89,MN493890.1,AL10-HP10-MS14-RS12
90,MN493890.1,AL10-HP14-MS8-RS12
91,MN493890.1,AL10-HP14-MS10-RS12
92,MN493890.1,AL10-HP14-MS14-RS12
93,MN493896.1,AL28-HP29-MS29-RS29
94,MN493896.1,AL29-HP29-MS29-RS29
95,MN493898.1,AL24-HP24-MS24-RS24
96,MN493899.1,AL28-HP29-MS29-RS29
97,MN493899.1,AL29-HP29-MS29-RS29
98,MN493904.1,AL20-HP20-MS20-RS20
99,MN493907.1,AL36-HP35-MS35-RS37
100,MN493907.1,AL36-HP35-MS36-RS37
101,MN493907.1,AL36-HP36-MS35-RS37
102,MN493907.1,AL36-HP36-MS36-RS37
103,MN493909.1,AL36-HP35-MS35-RS37
104,MN493909.1,AL36-HP35-MS36-RS37
105,MN493909.1,AL36-HP36-MS35-RS37
106,MN493909.1,AL36-HP36-MS36-RS37
107,MN493910.1,AL7-HP7-MS7-RS7
108,MN493910.1,AL7-HP7-MS15-RS7
109,MN493910.1,AL7-HP15-MS7-RS7
110,MN493910.1,AL7-HP15-MS15-RS7
111,MN493910.1,AL7-HP7-MS7-RS11
112,MN493910.1,AL7-HP7-MS15-RS11
113,MN493910.1,AL7-HP15-MS7-RS11
114,MN493910.1,AL7-HP15-MS15-RS11
115,MN493910.1,AL7-HP7-MS7-RS15
116,MN493910.1,AL7-HP7-MS15-RS15
117,MN493910.1,AL7-HP15-MS7-RS15
118,MN493910.1,AL7-HP15-MS15-RS15
119,MN493910.1,AL7-HP7-MS7-RS16
120,MN493910.1,AL7-HP7-MS15-RS16
121,MN493910.1,AL7-HP15-MS7-RS16
122,MN493910.1,AL7-HP15-MS15-RS16
123,MN493910.1,AL7-HP7-MS7-RS20
124,MN493910.1,AL7-HP7-MS15-RS20
125,MN493910.1,AL7-HP15-MS7-RS20
126,MN493910.1,AL7-HP15-MS15-RS20
127,MN493910.1,AL11-HP7-MS7-RS7
128,MN493910.1,AL11-HP7-MS15-RS7
129,MN493910.1,AL11-HP15-MS7-RS7
130,MN493910.1,AL11-HP15-MS15-RS7
131,MN493910.1,AL11-HP7-MS7-RS11
132,MN493910.1,AL11-HP7-MS15-RS11
133,MN493910.1,AL11-HP15-MS7-RS11
134,MN493910.1,AL11-HP15-MS15-RS11
135,MN493910.1,AL11-HP7-MS7-RS15
136,MN493910.1,AL11-HP7-MS15-RS15
137,MN493910.1,AL11-HP15-MS7-RS15
138,MN493910.1,AL11-HP15-MS15-RS15
139,MN493910.1,AL11-HP7-MS7-RS16
140,MN493910.1,AL11-HP7-MS15-RS16
141,MN493910.1,AL11-HP15-MS7-RS16
142,MN493910.1,AL11-HP15-MS15-RS16
143,MN493910.1,AL11-HP7-MS7-RS20
144,MN493910.1,AL11-HP7-MS15-RS20
145,MN493910.1,AL11-HP15-MS7-RS20
146,MN493910.1,AL11-HP15-MS15-RS20
147,MN493910.1,AL15-HP7-MS7-RS7
148,MN493910.1,AL15-HP7-MS15-RS7
149,MN493910.1,AL15-HP15-MS7-RS7
150,MN493910.1,AL15-HP15-MS15-RS7
151,MN493910.1,AL15-HP7-MS7-RS11
152,MN493910.1,AL15-HP7-MS15-RS11
153,MN493910.1,AL15-HP15-MS7-RS11
154,MN493910.1,AL15-HP15-MS15-RS11
155,MN493910.1,AL15-HP7-MS7-RS15
156,MN493910.1,AL15-HP7-MS15-RS15
157,MN493910.1,AL15-HP15-MS7-RS15
158,MN493910.1,AL15-HP15-MS15-RS15
159,MN493910.1,AL15-HP7-MS7-RS16
160,MN493910.1,AL15-HP7-MS15-RS16
161,MN493910.1,AL15-HP15-MS7-RS16
162,MN493910.1,AL15-HP15-MS15-RS16
163,MN493910.1,AL15-HP7-MS7-RS20
164,MN493910.1,AL15-HP7-MS15-RS20
165,MN493910.1,AL15-HP15-MS7-RS20
166,MN493910.1,AL15-HP15-MS15-RS20
167,MN493917.1,AL1-HP1-MS1-RS1
168,MN493917.1,AL1-HP1-MS4-RS1
169,MN493917.1,AL1-HP4-MS1-RS1
170,MN493917.1,AL1-HP4-MS4-RS1
171,MN493918.1,AL1-HP1-MS1-RS1
172,MN493918.1,AL1-HP1-MS4-RS1
